name,price,url
Cooksville,$12.95,https://www.glassesshop.com/eyeglasses/fp2010
Asheville,$12.95,https://www.glassesshop.com/eyeglasses/fp1992
Rainbow,$12.95,https://www.glassesshop.com/eyeglasses/fp2013
Miami,$29.95,https://www.glassesshop.com/eyeglasses/fz1391
Whittier,$29.95,https://www.glassesshop.com/eyeglasses/fz1313
Dubois,$49.95,https://www.glassesshop.com/eyeglasses/ft0326
Marlowe,$19.95,https://www.glassesshop.com/eyeglasses/sup0711
Horatio,$19.95,https://www.glassesshop.com/eyeglasses/sm0874
Maltz,$29.95,https://www.glassesshop.com/eyeglasses/fz1370
Celia,$19.95,https://www.glassesshop.com/eyeglasses/fm1389
Celia,$19.95,https://www.glassesshop.com/eyeglasses/fm1387
Owen,$19.95,https://www.glassesshop.com/eyeglasses/fp1651
Annabel,$39.95,https://www.glassesshop.com/eyeglasses/ft0304
Wilker,$29.95,https://www.glassesshop.com/eyeglasses/sup0622
Pete,$29.95,https://www.glassesshop.com/eyeglasses/fz1207
Westlake,$44.95,https://www.glassesshop.com/eyeglasses/fz1437
Genevieve,$34.95,https://www.glassesshop.com/eyeglasses/fz1268
Vivian,$29.95,https://www.glassesshop.com/eyeglasses/fz1250
Burke,$24.95,https://www.glassesshop.com/eyeglasses/fm1243
Jean,$24.95,https://www.glassesshop.com/eyeglasses/fp1719
Derrick,$24.95,https://www.glassesshop.com/eyeglasses/fp1661
Prince,$19.95,https://www.glassesshop.com/eyeglasses/fp1438
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1088
Haggai,$24.95,https://www.glassesshop.com/eyeglasses/fp1775
Poppy,$19.95,https://www.glassesshop.com/eyeglasses/fz1032
Christine,$39.95,https://www.glassesshop.com/eyeglasses/fz1519
Butler,$19.95,https://www.glassesshop.com/eyeglasses/fp1841
Oneida,$44.95,https://www.glassesshop.com/eyeglasses/ft0405
Althea,$19.95,https://www.glassesshop.com/eyeglasses/fp2111
Libra,$24.95,https://www.glassesshop.com/eyeglasses/fp2046
Gulfport,$19.95,https://www.glassesshop.com/eyeglasses/fp2107
Lagrange,$29.95,https://www.glassesshop.com/eyeglasses/fz1411
Miami,$29.95,https://www.glassesshop.com/eyeglasses/fz0981
Glenview,$49.95,https://www.glassesshop.com/eyeglasses/ft0364
Evanston,$29.95,https://www.glassesshop.com/eyeglasses/sup0791
Walnut,$29.95,https://www.glassesshop.com/eyeglasses/sup0821
